län;18-19 år;20-24 år;25-29 år;30-34 år;35-39 år;40-44 år;45-49 år;50-54 år;55-59 år;60-64 år;65-69 år;70-74 år;75-79 år;80-84 år;85-89 år;90-94 år;95-99 år;100+ år
Stockholms län;53123;122767;169645;198541;180074;168121;167576;157355;151884;122059;105212;99394;92455;53393;30022;15026;4869;777
Uppsala län;8548;26726;30560;29709;25704;23058;23950;23298;23211;19943;19232;19465;17334;9907;5770;2834;919;129
Södermanlands län;7115;15386;16644;18974;17497;17109;18155;19072;19428;17264;16918;17948;16552;9719;5665;2725;758;116
Östergötlands län;10301;29557;32764;32896;28313;27315;28730;29125;29526;25548;24444;24864;22550;14196;8366;4237;1194;163
Jönköpings län;8675;20758;23753;24738;22014;20825;22048;23478;23044;20063;19413;19406;17515;11170;6872;3565;1025;167
Kronobergs län;4654;11987;12892;13643;12275;11924;12176;12583;12335;10685;10909;11028;9820;6183;3973;2000;578;82
Kalmar län;5381;12299;14074;15247;13359;13004;14282;15591;16578;14922;15679;15996;14600;9204;5577;2678;736;106
Gotlands län;1250;3106;3273;3587;3135;3180;3586;3817;4248;4000;4201;4080;3788;2221;1344;616;150;22
Blekinge län;3617;8542;9070;9813;8854;8853;9738;10326;10598;9090;9155;9583;9061;5954;3538;1670;470;67
Skåne län;30753;78140;91328;100342;91719;88592;89158;88261;86890;74041;70260;70445;63874;39581;23342;11570;3470;455
Hallands län;7963;17557;18705;21153;19816;19604;21453;22400;22008;19532;18669;19139;17594;10796;6555;3184;934;143
Västra Götalands län;37787;96496;119715;131748;114729;106384;108827;109772;110919;95569;90268;88201;78202;48288;29439;14487;4213;569
Värmlands län;5879;15706;16977;18139;15817;15035;16710;18188;19106;17233;17391;17563;15751;9848;6366;3084;848;109
Örebro län;6764;18836;20169;20698;18176;17589;18478;19388;19057;16617;16604;17054;15962;9663;5309;2635;788;140
Västmanlands län;6330;14837;17431;19160;16705;15678;16818;17950;18455;15755;14592;15564;14324;9261;5153;2626;786;128
Dalarnas län;6318;13774;15976;18427;16272;15415;16825;17903;18850;17616;18193;18931;16828;10349;6074;2984;762;104
Gävleborgs län;6544;14674;16585;18430;15791;15144;17374;18658;19340;17491;17661;18285;16807;10016;5935;2789;705;77
Västernorrlands län;5675;11936;13207;15447;13515;13625;14907;16090;16398;14859;15195;15343;14203;8885;5255;2355;568;64
Jämtlands län;2827;6672;7726;8833;7710;7307;7925;8031;8621;7882;8177;8178;7294;4329;2614;1214;351;49
Västerbottens län;5809;18012;19403;19741;16900;15916;15958;16075;16304;15462;15610;15301;13215;8541;5183;2374;599;75
Norrbottens län;5145;14345;15136;16606;13878;13020;14561;16079;16814;16019;15898;15981;13706;9123;5625;2386;524;43
